ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);LIGHT ( lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION X (°);ORIENTATION Y (°);ORIENTATION Z (°);PROXIMITY ( in);Temperature ( °F);Level (%);Voltage (Volt);Time since start in ms ; 
0.6402; 1.1441; 9.6432; 160.0; -5.56; 11.44; -47.31; 21.41; -2.03; -1.22; 3.543307; 89.8; 78.0; 3.956; 5; 
0.3814; 0.1907; 9.3436; 160.0; -6.25; 15.25; -48.06; 16.75; -3.81; -2.18; 3.543307; 89.8; 78.0; 3.956; 535; 
1.0624; 0.109; 9.221; 160.0; -8.56; 23.19; -52.87; 15.0; -2.32; -1.69; 3.543307; 89.8; 78.0; 3.956; 1053; 
-0.4086; 1.5255; 9.9973; 160.0; -9.31; 31.25; -56.5; 8.26; -4.1; -5.15; 3.543307; 89.8; 78.0; 3.956; 1553; 
-1.8387; 0.6129; 9.5342; 160.0; -21.5; 33.69; -44.37; 29.27; -6.22; 0.79; 3.543307; 89.8; 78.0; 3.956; 2054; 
0.1907; -0.6402; 12.2856; 160.0; -22.5; 24.63; -41.87; 36.19; -3.41; 0.69; 3.543307; 89.8; 78.0; 3.956; 2563; 
1.4165; -0.2588; 7.0826; 160.0; -26.12; 19.56; -44.06; 51.18; 3.18; -5.55; 3.543307; 89.8; 78.0; 3.956; 3072; 
0.0; -1.1441; 10.869; 160.0; -23.75; 12.94; -56.69; 68.32; 2.97; 1.31; 3.543307; 89.8; 78.0; 3.956; 3573; 

