ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);LIGHT ( lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION X (°);ORIENTATION Y (°);ORIENTATION Z (°);PROXIMITY ( in);Temperature ( °F);Level (%);Voltage (Volt);Time since start in ms ; 
0.8036; 1.6753; 9.6432; 160.0; -2.69; 13.13; -46.44; 359.53; -7.33; -2.62; 3.543307; 89.2; 77.0; 3.947; 5; 
0.8308; 1.2531; 10.4877; 160.0; -14.87; 25.19; -49.06; 22.46; -11.6; -1.28; 3.543307; 89.2; 77.0; 3.947; 505; 
9.3436; 1.6344; 18.6463; 160.0; -18.87; 19.44; -56.37; 29.29; -6.07; 0.21; 3.543307; 89.2; 77.0; 3.947; 1005; 
-15.2412; -3.4459; -1.6072; 160.0; -46.56; 0.69; 21.88; 90.55; -4.63; -4.61; 3.543307; 89.2; 77.0; 3.947; 1505; 
6.5786; -9.1937; 19.3818; 160.0; -4.81; 50.06; -20.5; 25.67; 31.77; 77.88; 3.543307; 89.2; 77.0; 3.947; 2016; 
-1.5663; 0.9126; 10.5285; 160.0; -0.69; 28.25; -37.87; 309.51; 27.84; -19.89; 3.543307; 89.2; 77.0; 3.947; 2516; 
-1.4165; -0.0681; 10.1472; 160.0; -15.31; 14.56; -58.37; 40.69; 3.41; 0.59; 3.543307; 89.2; 77.0; 3.947; 3035; 
-1.7979; 1.6753; 9.0712; 160.0; -16.0; -6.0; -71.75; 73.76; -7.28; 2.66; 3.543307; 89.2; 77.0; 3.947; 3536; 

