ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);LIGHT ( lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION X (°);ORIENTATION Y (°);ORIENTATION Z (°);PROXIMITY ( in);Temperature ( °F);Level (%);Voltage (Volt);Time since start in ms ; 
0.2996; 0.5721; 8.8396; 160.0; -32.06; 27.31; -31.94; 49.04; 0.64; -2.33; 3.543307; 89.8; 78.0; 3.956; 7; 
0.4495; -0.1498; 10.5694; 160.0; -39.81; 30.5; -22.56; 51.38; -1.0; -1.65; 3.543307; 89.8; 78.0; 3.956; 507; 
0.3405; -0.2588; 11.6726; 160.0; -38.06; 29.56; -21.75; 50.47; -0.51; -3.44; 3.543307; 89.8; 78.0; 3.956; 1007; 
0.5312; 0.109; 10.0654; 160.0; -32.5; 25.13; -33.62; 50.5; -0.06; -2.69; 3.543307; 89.8; 78.0; 3.956; 1529; 
0.4903; -0.4903; 10.3378; 160.0; -30.25; 24.06; -32.37; 49.68; -0.73; -3.81; 3.543307; 89.8; 78.0; 3.956; 2029; 
0.9534; -0.9534; 9.1937; 160.0; -28.44; 20.44; -30.62; 54.85; 2.15; -2.4; 3.543307; 89.8; 78.0; 3.956; 2539; 
0.4495; 0.3814; 9.4934; 160.0; -31.06; 14.38; -28.19; 69.5; 6.12; -4.87; 3.543307; 89.8; 78.0; 3.956; 3039; 
-0.1907; 1.6344; 9.1937; 160.0; -32.62; 10.25; -29.06; 71.51; -0.38; -4.68; 3.543307; 89.8; 78.0; 3.956; 3551; 
0.4086; 2.2474; 8.9894; 160.0; -31.94; 10.25; -28.19; 67.58; -5.89; -1.45; 3.543307; 89.8; 78.0; 3.956; 4051; 
-0.2996; 0.2996; 9.6023; 160.0; -32.62; 10.5; -29.5; 62.96; -11.81; 1.52; 3.543307; 89.8; 78.0; 3.956; 4553; 
1.0215; 0.2179; 9.4525; 160.0; -33.31; 11.06; -29.44; 71.0; -1.08; 0.96; 3.543307; 89.8; 78.0; 3.956; 5077; 
0.4903; -0.4495; 9.6432; 160.0; -30.62; 15.25; -32.87; 59.79; 0.06; -6.1; 3.543307; 89.8; 78.0; 3.956; 5588; 
0.2996; -0.7627; 9.9156; 160.0; -29.06; 19.38; -35.75; 56.21; 2.36; -4.61; 3.543307; 89.8; 78.0; 3.956; 6088; 
0.8036; -0.8308; 10.1472; 160.0; -29.25; 27.88; -27.31; 45.63; 4.28; -1.13; 3.543307; 89.8; 78.0; 3.956; 6591; 
0.4903; -0.6402; 11.5228; 160.0; -29.94; 25.75; -29.0; 49.58; 4.81; -5.09; 3.543307; 89.8; 78.0; 3.956; 7091; 
0.3814; 0.0272; 9.8748; 160.0; -31.75; 26.5; -27.19; 48.0; -0.42; -3.65; 3.543307; 89.8; 78.0; 3.956; 7615; 

