ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);LIGHT ( lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION X (°);ORIENTATION Y (°);ORIENTATION Z (°);PROXIMITY ( in);Temperature ( °F);Level (%);Voltage (Volt);Time since start in ms ; 
0.8036; 0.0681; 9.5751; 160.0; -8.25; 12.31; -46.81; 30.38; -0.69; -0.77; 3.543307; 89.8; 78.0; 3.956; 5; 
0.3814; 0.8036; 10.4196; 160.0; -8.0; 14.69; -47.0; 16.51; -2.25; -4.01; 3.543307; 89.8; 78.0; 3.956; 522; 
0.1907; 0.7219; 10.5285; 160.0; -8.56; 22.5; -53.87; 16.13; -3.82; -1.4; 3.543307; 89.8; 78.0; 3.956; 1035; 
0.9943; 1.6753; 8.9894; 160.0; -10.69; 30.69; -55.25; 13.67; -2.12; -3.07; 3.543307; 89.8; 78.0; 3.956; 1544; 
3.514; -0.1907; 5.9657; 160.0; -11.94; 36.5; -46.19; 10.14; -4.85; -5.78; 3.543307; 89.8; 78.0; 3.956; 2073; 
1.6072; -0.8717; 10.9916; 160.0; -21.19; 29.13; -39.25; 29.92; -4.36; -3.76; 3.543307; 89.8; 78.0; 3.956; 2573; 
0.4086; -0.6402; 10.4468; 160.0; -25.94; 21.0; -42.81; 49.82; -1.21; 1.23; 3.543307; 89.8; 78.0; 3.956; 3073; 
0.1907; -0.8308; 11.7544; 160.0; -25.37; 15.88; -49.87; 57.84; 2.64; -3.78; 3.543307; 89.8; 78.0; 3.956; 3574; 
0.4495; -0.2179; 9.1529; 160.0; -21.56; 7.56; -66.87; 79.45; 3.7; -1.96; 3.543307; 89.8; 78.0; 3.956; 4083; 

