ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);LIGHT ( lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION X (°);ORIENTATION Y (°);ORIENTATION Z (°);PROXIMITY ( in);Temperature ( °F);Level (%);Voltage (Volt);Time since start in ms ; 
0.3814; 0.109; 9.9565; 160.0; -28.12; 28.19; -31.94; 43.06; -1.33; -1.98; 3.543307; 89.8; 78.0; 3.956; 24; 
0.681; 0.2996; 9.4525; 160.0; -27.06; 22.94; -36.81; 48.3; -0.82; -0.89; 3.543307; 89.8; 78.0; 3.956; 549; 
0.5312; 0.2996; 9.4525; 160.0; -25.25; 21.13; -35.94; 48.01; 0.06; -2.62; 3.543307; 89.8; 78.0; 3.956; 1049; 
0.681; 0.1907; 8.8396; 160.0; -24.69; 24.06; -35.19; 43.26; -1.23; -2.73; 3.543307; 89.8; 78.0; 3.956; 1577; 
0.6402; 0.2179; 8.9894; 160.0; -25.37; 25.0; -34.81; 42.12; -0.78; -3.27; 3.543307; 89.8; 78.0; 3.956; 2099; 
0.2996; 0.1498; 10.7601; 160.0; -26.69; 25.31; -35.0; 45.38; -0.18; -2.5; 3.543307; 89.8; 78.0; 3.956; 2610; 
0.6129; 0.6402; 9.9565; 160.0; -24.69; 20.31; -35.25; 49.33; -0.71; -1.95; 3.543307; 89.8; 78.0; 3.956; 3110; 
1.3757; 1.6753; 8.9622; 160.0; -30.56; 14.38; -31.06; 59.18; -3.17; -3.36; 3.543307; 89.8; 78.0; 3.956; 3610; 
1.2939; 2.4789; 8.8805; 160.0; -31.0; 12.75; -30.25; 59.36; -6.55; -5.27; 3.543307; 89.8; 78.0; 3.956; 4118; 
1.3348; 2.5198; 8.9213; 160.0; -31.06; 11.19; -29.62; 52.73; -14.22; -10.04; 3.543307; 89.8; 78.0; 3.956; 4619; 
1.2258; 1.1032; 9.1937; 160.0; -29.94; 14.0; -30.31; 47.56; -14.67; -9.86; 3.543307; 89.8; 78.0; 3.956; 5122; 
1.3348; -0.4086; 10.4877; 160.0; -30.31; 17.75; -33.12; 50.42; -4.97; -7.36; 3.543307; 89.8; 78.0; 3.956; 5637; 
0.9534; -0.681; 10.188; 160.0; -28.19; 25.75; -33.69; 47.74; 2.31; -6.85; 3.543307; 89.8; 78.0; 3.956; 6138; 
0.7219; -0.4086; 10.5285; 160.0; -25.0; 30.88; -17.62; 37.99; 3.4; -5.3; 3.543307; 89.8; 78.0; 3.956; 6638; 
0.7627; 0.1907; 9.2618; 160.0; -28.37; 26.69; -31.44; 46.72; 2.37; -3.32; 3.543307; 89.8; 78.0; 3.956; 7138; 
0.6129; 0.2179; 8.8805; 160.0; -31.25; 30.13; -26.56; 42.49; -1.85; -5.36; 3.543307; 89.8; 78.0; 3.956; 7645; 
0.2588; 0.0681; 9.9565; 160.0; -32.19; 31.75; -25.62; 43.92; 1.01; -3.52; 3.543307; 89.8; 78.0; 3.956; 8146; 
0.1907; 0.109; 9.7249; 160.0; -31.62; 31.19; -26.06; 43.27; -1.13; -2.82; 3.543307; 89.8; 78.0; 3.956; 8646; 

