ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);LIGHT ( lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION X (°);ORIENTATION Y (°);ORIENTATION Z (°);PROXIMITY ( in);Temperature ( °F);Level (%);Voltage (Volt);Time since start in ms ; 
0.109; -0.0681; 9.9156; 160.0; -26.06; 36.69; -39.62; 35.16; 0.25; -0.09; 3.543307; 90.3; 79.0; 4.115; 13; 
0.2996; -0.0681; 9.3027; 160.0; -25.87; 32.5; -39.87; 38.08; 0.72; -0.77; 3.543307; 90.3; 79.0; 4.115; 514; 
0.0; -1.0624; 11.6726; 160.0; -29.25; 41.81; -35.06; 33.53; 0.19; -2.41; 3.543307; 90.3; 79.0; 4.115; 1035; 
0.2588; -0.3814; 10.4468; 160.0; -26.69; 32.5; -36.12; 41.34; 4.23; -0.64; 3.543307; 90.3; 79.0; 4.115; 1548; 
-0.109; 0.2179; 9.4117; 160.0; -26.56; 31.69; -34.56; 40.38; 0.31; -1.3; 3.543307; 90.3; 79.0; 4.115; 2074; 
0.2588; 0.2179; 9.8067; 160.0; -25.62; 29.0; -37.25; 41.39; -0.22; -0.5; 3.543307; 90.3; 79.0; 4.115; 2604; 
0.2996; 0.6402; 9.3844; 160.0; -24.06; 20.81; -37.19; 47.89; 1.58; 0.32; 3.543307; 90.3; 79.0; 4.115; 3104; 
0.3405; 1.5663; 9.6432; 160.0; -27.44; 15.31; -35.06; 55.95; -2.27; -2.0; 3.543307; 89.8; 78.0; 3.956; 3604; 
1.2531; 2.5606; 9.3844; 160.0; -27.75; 14.63; -33.06; 51.61; -9.83; -3.23; 3.543307; 89.8; 78.0; 3.956; 4134; 
1.3348; 3.0918; 8.4582; 160.0; -28.62; 12.63; -31.0; 50.55; -14.06; -6.38; 3.543307; 89.8; 78.0; 3.956; 4654; 
1.2939; 2.6423; 8.7987; 160.0; -30.5; 10.06; -29.94; 51.31; -18.29; -8.52; 3.543307; 89.8; 78.0; 3.956; 5172; 
0.9534; 1.3757; 9.4525; 160.0; -32.0; 10.31; -32.87; 50.05; -19.26; -9.44; 3.543307; 89.8; 78.0; 3.956; 5676; 
1.0624; 0.1498; 9.7658; 160.0; -32.31; 12.44; -32.81; 61.58; -5.78; -5.43; 3.543307; 89.8; 78.0; 3.956; 6206; 
1.2531; -0.1498; 9.3844; 160.0; -29.62; 16.25; -34.56; 57.41; -0.58; -6.82; 3.543307; 89.8; 78.0; 3.956; 6714; 
0.7627; -0.7627; 9.4525; 160.0; -28.44; 22.63; -34.06; 47.51; 0.44; -6.91; 3.543307; 89.8; 78.0; 3.956; 7215; 
0.5721; -0.681; 9.9973; 160.0; -22.81; 25.5; -30.56; 39.87; 4.01; -5.84; 3.543307; 89.8; 78.0; 3.956; 7715; 
0.5721; -0.1907; 10.869; 160.0; -22.37; 23.94; -25.37; 43.57; 4.65; -2.81; 3.543307; 89.8; 78.0; 3.956; 8232; 
1.0624; 0.5312; 9.8339; 160.0; -26.0; 25.63; -25.12; 41.56; -0.92; -5.38; 3.543307; 89.8; 78.0; 3.956; 8744; 
1.4846; 0.4495; 9.3027; 160.0; -30.31; 27.69; -25.56; 45.44; -1.06; -4.76; 3.543307; 89.8; 78.0; 3.956; 9245; 

