ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);LIGHT ( lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION X (°);ORIENTATION Y (°);ORIENTATION Z (°);PROXIMITY ( in);Temperature ( °F);Level (%);Voltage (Volt);Time since start in ms ; 
-0.109; 1.757; 9.4117; 160.0; -4.56; 8.06; -47.06; 15.0; -6.69; -2.91; 3.543307; 87.3; 76.0; 3.931; 13; 
-1.4165; 0.5721; 12.9393; 160.0; -3.06; 20.06; -43.94; 1.27; -8.52; -3.2; 3.543307; 87.3; 76.0; 3.931; 513; 
-0.1907; 1.9068; 8.6489; 160.0; -9.56; 31.69; -54.06; 17.61; -6.49; 2.14; 3.543307; 87.3; 76.0; 3.931; 1013; 
-3.2144; 1.3757; 19.3818; 160.0; -25.0; -4.06; -49.94; 95.38; -2.0; -1.53; 3.543307; 87.3; 76.0; 3.931; 1525; 
-10.869; -6.3879; -0.4903; 160.0; -34.37; 20.25; 27.81; 87.18; -3.03; -27.98; 3.543307; 87.3; 76.0; 3.931; 2057; 
3.4732; -9.7658; 16.9573; 160.0; 8.88; 46.81; -31.06; 4.12; -0.13; 31.03; 3.543307; 87.3; 76.0; 3.931; 2557; 
-0.2996; -0.3405; 10.4877; 160.0; 4.44; 20.63; -34.44; 138.3; 48.98; 27.77; 3.543307; 87.3; 76.0; 3.931; 3064; 
-0.8308; 1.7162; 8.0769; 160.0; -8.94; 18.5; -50.56; 31.7; -4.88; 6.03; 3.543307; 87.3; 76.0; 3.931; 3564; 
0.8036; 3.4732; 7.9679; 160.0; -14.62; 2.0; -66.56; 54.84; -11.68; 5.64; 3.543307; 87.3; 76.0; 3.931; 4065; 
1.2939; 5.2847; 7.3141; 160.0; -19.06; -25.81; -62.56; 80.91; -22.68; 1.34; 3.543307; 87.3; 76.0; 3.931; 4602; 

