ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);LIGHT ( lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION X (°);ORIENTATION Y (°);ORIENTATION Z (°);PROXIMITY ( in);Temperature ( °F);Level (%);Voltage (Volt);Time since start in ms ; 
0.3405; 2.4789; 8.3765; 160.0; -11.06; 13.69; -47.81; 17.49; -10.6; -4.74; 3.543307; 89.2; 77.0; 3.947; 16; 
0.681; 2.3291; 10.4877; 160.0; -15.62; 27.31; -53.12; 11.66; -10.53; -7.03; 3.543307; 89.2; 77.0; 3.947; 536; 
5.6252; -0.2588; 19.3818; 160.0; -34.87; 0.94; -48.5; 50.83; -8.0; -3.1; 3.543307; 89.2; 77.0; 3.947; 1037; 
-10.4877; -7.927; 0.4495; 160.0; -25.56; 42.44; 25.13; 27.83; -7.64; 12.7; 3.543307; 89.2; 77.0; 3.947; 1537; 
4.0861; -3.8954; 18.6463; 160.0; -0.94; 44.38; -36.75; 52.18; 47.9; 24.5; 3.543307; 89.2; 77.0; 3.947; 2046; 
-0.6129; -0.109; 9.5342; 160.0; 1.06; 25.56; -37.94; 323.64; 13.35; -14.12; 3.543307; 89.2; 77.0; 3.947; 2546; 
-3.3234; 1.7162; 8.1586; 160.0; -9.19; 17.88; -50.81; 37.47; -1.01; 6.22; 3.543307; 89.2; 77.0; 3.947; 3060; 
1.6344; 3.6366; 7.2733; 160.0; -28.44; -4.94; -64.31; 77.55; -8.84; 9.68; 3.543307; 89.2; 77.0; 3.947; 3579; 

