ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);LIGHT ( lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION X (°);ORIENTATION Y (°);ORIENTATION Z (°);PROXIMITY ( in);Temperature ( °F);Level (%);Voltage (Volt);Time since start in ms ; 
-0.0681; -1.1441; 10.1063; 160.0; -7.5; 17.63; -41.75; 15.25; -2.01; -2.3; 3.543307; 87.3; 76.0; 3.931; 19; 
-0.1907; -4.0589; 13.13; 160.0; -13.94; 40.56; -34.94; 19.91; 4.47; -1.02; 3.543307; 87.3; 76.0; 3.931; 547; 
0.4903; -0.3405; 6.96; 160.0; -15.12; 35.38; -54.37; 25.37; 8.34; -0.32; 3.543307; 87.3; 76.0; 3.931; 1047; 
-1.6344; 0.0681; 19.3818; 160.0; -29.94; -20.94; -37.06; 133.5; 7.08; -4.42; 3.543307; 87.3; 76.0; 3.931; 1547; 
-5.9657; -7.9679; 6.0066; 160.0; -13.62; 32.13; 13.63; 31.57; -11.38; -23.19; 3.543307; 87.3; 76.0; 3.931; 2061; 
-0.7627; -3.7047; 19.3409; 160.0; 12.5; 39.19; -31.06; 289.54; 46.66; 7.07; 3.543307; 87.3; 76.0; 3.931; 2562; 
0.3405; 0.1498; 11.1414; 160.0; -13.69; 21.44; -44.12; 47.99; 9.09; 1.82; 3.543307; 87.3; 76.0; 3.931; 3107; 
0.8036; 2.3699; 8.6898; 160.0; -26.31; 12.25; -57.25; 68.12; 0.86; 1.81; 3.543307; 87.3; 76.0; 3.931; 3613; 

