ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);LIGHT ( lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION X (°);ORIENTATION Y (°);ORIENTATION Z (°);PROXIMITY ( in);Temperature ( °F);Level (%);Voltage (Volt);Time since start in ms ; 
-0.4086; 2.2201; 10.188; 160.0; -6.25; 13.44; -47.5; 2.25; -7.43; -6.28; 3.543307; 87.3; 76.0; 3.931; 12; 
0.7219; -0.3405; 8.6898; 160.0; -6.81; 25.75; -51.37; 4.62; -12.05; -4.56; 3.543307; 87.3; 76.0; 3.931; 531; 
8.54; 1.6753; 8.4991; 160.0; -17.31; 24.56; -55.87; 30.39; -8.43; 2.32; 3.543307; 87.3; 76.0; 3.931; 1047; 
-9.9973; 1.5663; 10.9916; 160.0; -42.69; -30.25; 5.88; 124.77; -8.08; -4.38; 3.543307; 87.3; 76.0; 3.931; 1547; 
0.4086; -8.7987; 11.8633; 160.0; -2.06; 41.88; -6.44; 358.25; 4.73; -29.95; 3.543307; 87.3; 76.0; 3.931; 2053; 
2.1793; -1.3348; 15.4319; 160.0; -2.0; 32.31; -44.81; 264.39; 37.79; -18.67; 3.543307; 87.3; 76.0; 3.931; 2557; 
2.6696; 2.0294; 13.2526; 160.0; -6.5; 20.25; -45.31; 358.43; 7.29; -8.08; 3.543307; 87.3; 76.0; 3.931; 3085; 
1.1441; 2.1793; 7.6955; 160.0; -20.44; 12.94; -58.94; 44.85; -7.45; 0.4; 3.543307; 87.3; 76.0; 3.931; 3603; 
2.0975; 3.2825; 8.4991; 40.0; -27.69; -15.37; -64.87; 76.29; -17.31; -4.38; 3.543307; 87.3; 76.0; 3.931; 4116; 

