ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);LIGHT ( lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION X (°);ORIENTATION Y (°);ORIENTATION Z (°);PROXIMITY ( in);Temperature ( °F);Level (%);Voltage (Volt);Time since start in ms ; 
-0.1498; 0.4903; 10.188; 160.0; -20.81; 20.88; -28.5; 42.38; -4.11; 1.87; 3.543307; 89.8; 78.0; 3.956; 18; 
0.2588; 0.8717; 9.1937; 160.0; -26.31; 17.88; -32.31; 54.01; -3.09; 1.92; 3.543307; 89.8; 78.0; 3.956; 519; 
0.1907; 0.4495; 9.7658; 160.0; -26.06; 18.5; -32.06; 50.03; -3.71; -1.53; 3.543307; 89.8; 78.0; 3.956; 1023; 
0.2179; 0.681; 8.5808; 160.0; -25.25; 18.5; -33.5; 46.73; -5.97; -2.03; 3.543307; 89.8; 78.0; 3.956; 1531; 
0.4495; 0.681; 8.9622; 160.0; -25.37; 19.75; -30.37; 49.38; -2.07; -0.79; 3.543307; 89.8; 78.0; 3.956; 2039; 
0.4903; 0.3405; 9.2618; 160.0; -25.37; 20.0; -29.75; 45.7; -3.82; -2.83; 3.543307; 89.8; 78.0; 3.956; 2560; 
0.7627; -0.2996; 10.4468; 160.0; -27.12; 22.88; -30.87; 47.02; -2.07; -2.0; 3.543307; 89.8; 78.0; 3.956; 3064; 
0.4086; 0.5721; 9.8067; 160.0; -27.25; 18.31; -35.44; 54.95; -0.21; -1.87; 3.543307; 89.8; 78.0; 3.956; 3578; 
1.3348; 0.9943; 9.4525; 160.0; -31.69; 12.94; -30.81; 64.4; -2.63; -3.17; 3.543307; 89.8; 78.0; 3.956; 4088; 
0.9126; 1.2258; 9.3844; 160.0; -31.5; 12.19; -29.06; 61.71; -6.7; -5.52; 3.543307; 89.8; 78.0; 3.956; 4594; 
0.8717; 2.2882; 8.9622; 160.0; -30.94; 11.19; -28.75; 60.29; -6.25; -7.66; 3.543307; 89.8; 78.0; 3.956; 5094; 
0.4495; 1.1032; 9.0712; 160.0; -30.37; 10.63; -30.19; 57.31; -11.68; -5.33; 3.543307; 89.8; 78.0; 3.956; 5596; 
0.8308; 0.1907; 9.7249; 160.0; -30.62; 13.38; -30.69; 56.54; -10.21; -3.35; 3.543307; 89.8; 78.0; 3.956; 6101; 
0.9126; 0.0681; 9.5342; 160.0; -31.37; 15.44; -34.06; 60.27; -1.12; -5.62; 3.543307; 89.8; 78.0; 3.956; 6610; 
1.0624; -0.4086; 10.1063; 160.0; -30.31; 22.56; -34.56; 50.48; 0.57; -5.96; 3.543307; 89.8; 78.0; 3.956; 7117; 
0.8308; -0.3405; 10.5285; 160.0; -31.56; 34.88; -22.37; 41.45; 3.02; -5.59; 3.543307; 89.8; 78.0; 3.956; 7618; 
0.8308; -0.2996; 9.6841; 160.0; -33.56; 38.81; -12.12; 40.42; 1.25; -4.56; 3.543307; 89.8; 78.0; 3.956; 8134; 
0.7219; -0.3405; 9.9565; 160.0; -33.37; 37.75; -12.75; 40.12; 1.35; -5.16; 3.543307; 89.8; 78.0; 3.956; 8640; 
0.8036; 0.1498; 8.9213; 160.0; -30.12; 29.94; -27.5; 43.79; 1.77; -4.32; 3.543307; 89.8; 78.0; 3.956; 9141; 
0.6402; -0.0272; 9.4934; 160.0; -31.56; 30.69; -25.12; 44.98; 1.05; -3.35; 3.543307; 89.8; 78.0; 3.956; 9641; 
0.3405; -0.109; 9.8748; 160.0; -31.5; 30.75; -25.19; 43.75; 0.45; -3.38; 3.543307; 89.8; 78.0; 3.956; 10168; 

