ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);LIGHT ( lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION X (°);ORIENTATION Y (°);ORIENTATION Z (°);PROXIMITY ( in);Temperature ( °F);Level (%);Voltage (Volt);Time since start in ms ; 
0.0; 0.3814; 10.4468; 160.0; -17.81; 25.31; -28.12; 29.5; -1.47; 0.22; 3.543307; 89.8; 78.0; 3.956; 19; 
0.0272; 0.0272; 10.188; 160.0; -21.94; 21.5; -29.56; 44.11; -1.25; -0.09; 3.543307; 89.8; 78.0; 3.956; 541; 
0.2588; 0.681; 7.9951; 160.0; -23.25; 22.44; -29.44; 40.56; -3.89; -1.42; 3.543307; 89.8; 78.0; 3.956; 1060; 
0.3814; 0.4086; 8.6898; 160.0; -22.37; 23.0; -28.37; 43.01; -0.17; -0.95; 3.543307; 89.8; 78.0; 3.956; 1577; 
0.0681; -0.5721; 11.5228; 160.0; -21.62; 23.19; -26.75; 40.98; -2.65; -1.94; 3.543307; 89.8; 78.0; 3.956; 2108; 
0.2588; -0.4086; 10.1063; 160.0; -24.5; 24.25; -33.56; 47.17; 1.84; -0.43; 3.543307; 89.8; 78.0; 3.956; 2615; 
1.2939; -0.3405; 9.8339; 160.0; -28.19; 21.56; -31.94; 50.23; 1.25; -2.53; 3.543307; 89.8; 78.0; 3.956; 3116; 
0.8036; 0.0681; 9.4525; 160.0; -29.12; 18.06; -29.5; 57.62; 1.8; -4.13; 3.543307; 89.8; 78.0; 3.956; 3616; 
0.2996; 1.4846; 8.7715; 160.0; -30.81; 14.13; -27.75; 64.44; 1.14; -5.89; 3.543307; 89.8; 78.0; 3.956; 4130; 
0.1907; 1.8387; 9.3027; 160.0; -31.56; 12.5; -28.56; 62.71; -5.93; -3.29; 3.543307; 89.8; 78.0; 3.956; 4631; 
0.681; 0.3814; 9.4117; 160.0; -31.94; 13.81; -27.75; 58.53; -10.8; -1.45; 3.543307; 89.8; 78.0; 3.956; 5131; 
1.1032; 0.1907; 9.1529; 160.0; -31.94; 16.88; -29.44; 56.36; -6.54; -3.14; 3.543307; 89.8; 78.0; 3.956; 5631; 
1.4846; -0.2588; 9.6023; 160.0; -30.31; 19.38; -31.0; 54.79; 0.38; -5.99; 3.543307; 89.8; 78.0; 3.956; 6155; 
0.6129; -0.7219; 9.9973; 160.0; -27.94; 25.19; -36.0; 45.37; 2.85; -7.27; 3.543307; 89.8; 78.0; 3.956; 6655; 
0.5721; -1.2258; 10.7192; 160.0; -42.62; 37.81; -29.94; 49.63; 5.14; -3.98; 3.543307; 89.8; 78.0; 3.956; 7155; 
1.5663; 0.1907; 10.5285; 160.0; -38.5; 30.19; -31.44; 54.52; 6.96; -2.52; 3.543307; 89.8; 78.0; 3.956; 7655; 
0.7219; 0.1907; 9.9973; 160.0; -39.44; 30.69; -29.19; 49.25; -0.79; -8.35; 3.543307; 89.8; 78.0; 3.956; 8155; 

