ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);LIGHT ( lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION X (°);ORIENTATION Y (°);ORIENTATION Z (°);PROXIMITY ( in);Temperature ( °F);Level (%);Voltage (Volt);Time since start in ms ; 
0.3405; 0.0681; 9.8339; 160.0; -27.12; 26.63; -28.25; 44.94; 1.43; -1.57; 3.543307; 89.8; 78.0; 3.956; 21; 
-0.109; -0.3405; 11.4411; 160.0; -27.06; 27.5; -28.5; 44.49; -0.21; -2.45; 3.543307; 89.8; 78.0; 3.956; 537; 
0.0681; 0.0272; 10.1472; 160.0; -27.12; 24.38; -33.69; 48.15; 0.42; -0.82; 3.543307; 89.8; 78.0; 3.956; 1037; 
0.5312; 0.3405; 9.3436; 160.0; -26.94; 23.75; -33.06; 46.41; -0.64; -2.38; 3.543307; 89.8; 78.0; 3.956; 1537; 
0.6402; -0.2996; 9.9973; 160.0; -26.12; 23.56; -34.12; 44.83; -0.47; -3.06; 3.543307; 89.8; 78.0; 3.956; 2051; 
0.6402; 0.6402; 9.4525; 160.0; -28.0; 16.31; -33.62; 63.01; 3.32; -0.93; 3.543307; 89.8; 78.0; 3.956; 2551; 
0.5312; 0.6402; 9.4934; 160.0; -30.87; 10.56; -29.87; 72.58; 2.65; -0.9; 3.543307; 89.8; 78.0; 3.956; 3079; 
0.1498; 2.4108; 8.7987; 160.0; -32.5; 8.56; -30.31; 71.06; -2.94; -2.14; 3.543307; 89.8; 78.0; 3.956; 3579; 
0.4495; 1.9068; 9.221; 160.0; -33.19; 9.0; -28.5; 67.72; -7.89; -2.14; 3.543307; 89.8; 78.0; 3.956; 4079; 
1.0215; 1.2531; 9.2618; 160.0; -33.31; 9.0; -29.62; 65.58; -10.13; -2.48; 3.543307; 89.8; 78.0; 3.956; 4580; 
0.8717; 0.3814; 9.6432; 160.0; -31.0; 12.25; -31.56; 59.78; -7.65; -5.12; 3.543307; 89.8; 78.0; 3.956; 5080; 
0.5312; -0.9126; 10.4196; 160.0; -30.12; 17.31; -33.62; 53.5; -3.3; -6.69; 3.543307; 89.8; 78.0; 3.956; 5580; 
0.8036; 0.4086; 9.9156; 160.0; -30.87; 14.19; -37.62; 69.24; 4.52; -3.63; 3.543307; 89.8; 78.0; 3.956; 6080; 
0.5312; -0.0272; 10.3787; 160.0; -29.06; 15.38; -38.31; 58.83; -0.53; -5.23; 3.543307; 89.8; 78.0; 3.956; 6585; 
0.8036; 0.0272; 11.1006; 160.0; -26.87; 15.81; -37.31; 59.0; 0.21; -3.44; 3.543307; 89.8; 78.0; 3.956; 7090; 
0.7627; 0.4495; 10.0246; 160.0; -25.94; 18.38; -36.25; 50.11; -2.78; -3.6; 3.543307; 89.8; 78.0; 3.956; 7601; 
0.2588; 0.1907; 9.7249; 160.0; -23.12; 21.0; -35.06; 44.17; -0.12; -4.04; 3.543307; 89.8; 78.0; 3.956; 8101; 

