ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);LIGHT ( lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION X (°);ORIENTATION Y (°);ORIENTATION Z (°);PROXIMITY ( in);Temperature ( °F);Level (%);Voltage (Volt);Time since start in ms ; 
0.0272; 0.9534; 9.9156; 160.0; -4.19; 9.19; -49.06; 27.18; 0.74; 0.34; 3.543307; 89.8; 78.0; 3.956; 26; 
0.4903; 0.2996; 9.112; 160.0; -4.94; 10.38; -47.25; 24.55; -2.8; 0.74; 3.543307; 89.8; 78.0; 3.956; 532; 
0.0272; 1.1441; 9.9565; 160.0; -4.19; 13.0; -48.87; 11.34; -0.71; -1.48; 3.543307; 89.8; 78.0; 3.956; 1058; 
0.6129; 0.7219; 8.7987; 160.0; -6.12; 20.13; -52.69; 13.5; -4.72; -0.18; 3.543307; 89.8; 78.0; 3.956; 1559; 
0.7627; 0.2179; 8.7987; 160.0; -6.94; 29.75; -57.12; 8.08; -2.98; -2.33; 3.543307; 89.8; 78.0; 3.956; 2065; 
0.2588; 0.0681; 9.9156; 160.0; -11.87; 36.0; -49.31; 12.46; -2.32; -2.9; 3.543307; 89.8; 78.0; 3.956; 2576; 
-0.0681; 0.2996; 8.9894; 160.0; -20.94; 34.38; -39.37; 27.64; -2.61; -3.27; 3.543307; 89.8; 78.0; 3.956; 3084; 
2.0567; -0.0681; 6.6195; 160.0; -23.19; 25.31; -39.87; 40.55; 2.98; -4.9; 3.543307; 89.8; 78.0; 3.956; 3585; 
0.0681; -1.0215; 10.5285; 160.0; -27.31; 20.19; -42.56; 56.45; 4.69; -3.18; 3.543307; 89.8; 78.0; 3.956; 4111; 
-0.4086; -0.7219; 9.1937; 160.0; -21.44; 17.63; -52.06; 52.45; 2.62; -0.78; 3.543307; 89.8; 78.0; 3.956; 4614; 
-0.109; -0.5312; 9.4525; 160.0; -18.62; 9.63; -64.44; 63.56; 1.08; 1.53; 3.543307; 89.8; 78.0; 3.956; 5114; 

