ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);LIGHT ( lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION X (°);ORIENTATION Y (°);ORIENTATION Z (°);PROXIMITY ( in);Temperature ( °F);Level (%);Voltage (Volt);Time since start in ms ; 
0.5721; 1.866; 9.112; 160.0; -8.19; 9.19; -46.75; 14.43; -15.75; -3.29; 3.543307; 87.3; 76.0; 3.931; 11; 
-0.3405; 3.4459; 9.4934; 160.0; -8.81; 22.63; -44.56; 6.41; -14.65; -5.9; 3.543307; 87.3; 76.0; 3.931; 511; 
1.2258; -0.4495; 12.5171; 160.0; -14.56; 33.63; -53.5; 22.74; -7.15; 2.04; 3.543307; 87.3; 76.0; 3.931; 1036; 
-7.9679; -6.5378; 19.3818; 160.0; -27.81; -9.81; -44.06; 42.94; -2.76; -13.69; 3.543307; 87.3; 76.0; 3.931; 1542; 
-9.6023; -7.5729; 8.1858; 160.0; -11.19; 32.56; 16.13; 45.07; 0.37; 1.75; 3.543307; 87.3; 76.0; 3.931; 2043; 
3.8682; -5.1213; 19.3; 160.0; 4.88; 44.19; -30.56; 36.63; 21.03; 64.18; 3.543307; 87.3; 76.0; 3.931; 2543; 
0.0681; -0.5721; 11.0597; 160.0; -8.19; 24.25; -39.75; 252.62; 31.61; -15.3; 3.543307; 87.3; 76.0; 3.931; 3101; 
-0.9943; 2.2201; 6.1292; 160.0; -17.31; 13.69; -61.87; 46.71; 4.36; -5.72; 3.543307; 87.3; 76.0; 3.931; 3601; 
1.185; 2.5198; 8.54; 160.0; -20.31; -2.94; -71.56; 45.14; -15.06; -3.05; 3.543307; 87.3; 76.0; 3.931; 4121; 

