ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);LIGHT ( lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION X (°);ORIENTATION Y (°);ORIENTATION Z (°);PROXIMITY ( in);Temperature ( °F);Level (%);Voltage (Volt);Time since start in ms ; 
0.3814; 1.6072; 8.8805; 160.0; -4.25; 15.75; -44.37; 10.17; -4.29; -2.4; 3.543307; 87.3; 76.0; 3.931; 13; 
-0.8308; -1.7979; 9.2618; 160.0; -7.62; 34.31; -40.0; 8.23; -6.07; -3.55; 3.543307; 87.3; 76.0; 3.931; 513; 
0.1498; 0.3405; 11.2232; 160.0; -7.62; 39.69; -49.62; 18.57; 6.43; 2.18; 3.543307; 87.3; 76.0; 3.931; 1013; 
-7.3822; 0.0681; 19.1093; 160.0; -29.25; -35.94; -18.75; 141.96; 5.1; 1.03; 3.543307; 87.3; 76.0; 3.931; 1534; 
-5.6252; -7.7636; 8.036; 160.0; -3.0; 27.06; 11.25; 39.37; -5.32; -32.15; 3.543307; 87.3; 76.0; 3.931; 2064; 
-0.4086; -2.942; 17.8018; 160.0; 9.81; 36.69; -30.5; 301.56; 47.39; 11.29; 3.543307; 87.3; 76.0; 3.931; 2566; 
-0.2179; -0.0272; 10.5285; 160.0; -9.12; 24.0; -46.69; 21.13; 15.42; -6.0; 3.543307; 87.3; 76.0; 3.931; 3096; 
-0.109; 2.833; 8.3493; 90.0; -17.25; -3.06; -70.44; 83.33; -0.87; 6.5; 3.543307; 87.3; 76.0; 3.931; 3605; 
1.0624; 4.3585; 8.2676; 90.0; -19.87; -20.87; -69.25; 82.93; -18.37; 4.51; 3.543307; 87.3; 76.0; 3.931; 4105; 

