ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);LIGHT ( lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION X (°);ORIENTATION Y (°);ORIENTATION Z (°);PROXIMITY ( in);Temperature ( °F);Level (%);Voltage (Volt);Time since start in ms ; 
0.3814; -0.6402; 9.4934; 160.0; -6.44; 16.0; -44.56; 23.12; -5.75; 1.1; 3.543307; 87.3; 76.0; 3.931; 14; 
-0.1907; 0.4086; 9.112; 160.0; -7.0; 26.25; -38.5; 10.59; 0.52; -1.1; 3.543307; 87.3; 76.0; 3.931; 514; 
1.185; -1.0215; 11.945; 160.0; -15.87; 42.19; -52.81; 23.26; 0.33; 2.09; 3.543307; 87.3; 76.0; 3.931; 1017; 
12.6397; 8.036; 19.3409; 160.0; -23.0; 7.31; -52.75; 92.5; 8.65; 0.48; 3.543307; 87.3; 76.0; 3.931; 1543; 
-10.7192; 1.8387; 6.7421; 160.0; -23.25; -10.94; 40.88; 115.75; -9.04; -15.85; 3.543307; 87.3; 76.0; 3.931; 2043; 
6.9328; -11.373; 19.3409; 160.0; 10.44; 46.31; -15.06; 11.41; 15.01; 60.49; 3.543307; 87.3; 76.0; 3.931; 2543; 
-0.3405; -1.6753; 12.6397; 160.0; -2.0; 26.5; -41.37; 318.95; 22.36; -14.65; 3.543307; 87.3; 76.0; 3.931; 3092; 
-1.4165; 0.1498; 7.9679; 160.0; -19.94; 14.25; -51.87; 59.81; 0.16; 7.41; 3.543307; 87.3; 76.0; 3.931; 3602; 
0.109; 2.7513; 8.6081; 160.0; -20.19; 10.56; -64.37; 53.03; -4.16; 1.98; 3.543307; 87.3; 76.0; 3.931; 4102; 

