ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);LIGHT ( lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION X (°);ORIENTATION Y (°);ORIENTATION Z (°);PROXIMITY ( in);Temperature ( °F);Level (%);Voltage (Volt);Time since start in ms ; 
0.4086; 0.3814; 9.5751; 160.0; -5.94; 9.75; -48.75; 23.28; -3.27; -0.58; 3.543307; 89.2; 77.0; 3.947; 4; 
0.2996; 1.757; 9.4934; 160.0; -5.94; 12.19; -49.69; 9.47; -6.6; -3.48; 3.543307; 89.2; 77.0; 3.947; 504; 
0.9126; 0.8308; 8.2267; 160.0; -8.5; 18.94; -54.12; 11.7; -9.74; -2.35; 3.543307; 89.2; 77.0; 3.947; 1005; 
0.8036; 0.4495; 8.9622; 160.0; -12.5; 26.44; -55.5; 10.56; -5.3; -6.59; 3.543307; 89.2; 77.0; 3.947; 1505; 
2.2882; 1.7162; 9.4117; 160.0; -15.0; 32.94; -50.19; 15.78; -4.19; -5.25; 3.543307; 89.2; 77.0; 3.947; 2005; 
0.2588; -0.3405; 10.5694; 160.0; -22.37; 30.44; -39.87; 22.18; -9.65; -8.58; 3.543307; 89.2; 77.0; 3.947; 2520; 
0.3814; -0.2588; 9.221; 160.0; -23.44; 22.25; -42.56; 44.94; 0.52; -0.59; 3.543307; 89.2; 77.0; 3.947; 3036; 
0.3814; -1.5255; 10.297; 160.0; -22.25; 16.94; -49.94; 50.29; 2.96; -5.01; 3.543307; 89.2; 77.0; 3.947; 3536; 

