ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);LIGHT ( lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION X (°);ORIENTATION Y (°);ORIENTATION Z (°);PROXIMITY ( in);Temperature ( °F);Level (%);Voltage (Volt);Time since start in ms ; 
0.681; 1.2939; 9.6023; 160.0; -5.62; 7.88; -48.69; 10.17; -9.26; -3.68; 3.543307; 89.2; 77.0; 3.947; 6; 
0.4086; 1.3757; 9.4525; 160.0; -5.69; 13.19; -49.19; 10.63; -6.35; -3.19; 3.543307; 89.2; 77.0; 3.947; 511; 
1.0624; 0.9534; 8.0769; 160.0; -7.81; 17.25; -54.31; 14.23; -7.5; -2.04; 3.543307; 89.2; 77.0; 3.947; 1012; 
0.5721; 0.7219; 9.221; 160.0; -11.62; 25.25; -57.31; 11.34; -5.59; -5.85; 3.543307; 89.2; 77.0; 3.947; 1513; 
2.8603; 2.8603; 10.1063; 160.0; -12.62; 29.31; -52.94; 12.96; -6.15; -3.19; 3.543307; 89.2; 77.0; 3.947; 2027; 
1.9068; 0.2588; 7.1915; 160.0; -17.62; 30.19; -43.0; 16.02; -12.73; -8.98; 3.543307; 89.2; 77.0; 3.947; 2533; 
-0.9534; 1.9068; 6.3471; 160.0; -22.0; 21.06; -44.31; 47.01; -4.09; 6.23; 3.543307; 89.2; 77.0; 3.947; 3034; 
0.2996; -0.7219; 11.373; 160.0; -24.87; 20.38; -44.75; 46.06; -3.65; -1.61; 3.543307; 89.2; 77.0; 3.947; 3535; 
0.5721; 0.3814; 7.8453; 160.0; -20.56; 11.81; -59.12; 61.57; 0.58; 0.12; 3.543307; 89.2; 77.0; 3.947; 4035; 
0.681; 0.0681; 9.6432; 160.0; -21.5; 6.13; -69.94; 70.52; -1.43; -2.43; 3.543307; 89.2; 77.0; 3.947; 4541; 

