ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);LIGHT ( lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION X (°);ORIENTATION Y (°);ORIENTATION Z (°);PROXIMITY ( in);Temperature ( °F);Level (%);Voltage (Volt);Time since start in ms ; 
0.2996; 0.2588; 9.8748; 160.0; -5.12; 9.44; -47.75; 24.6; -3.21; 0.41; 3.543307; 89.2; 77.0; 3.947; 7; 
0.109; 1.5255; 9.9565; 160.0; -5.5; 13.31; -48.12; 19.49; -1.83; 0.17; 3.543307; 89.2; 77.0; 3.947; 507; 
0.6402; -0.0272; 8.1858; 160.0; -3.19; 22.31; -51.75; 1.78; -6.67; -2.35; 3.543307; 89.2; 77.0; 3.947; 1030; 
0.3814; 0.8717; 8.8396; 160.0; -10.19; 31.5; -55.75; 17.64; -3.15; 0.84; 3.543307; 89.2; 77.0; 3.947; 1544; 
0.4495; 1.5663; 10.188; 160.0; -13.44; 35.75; -45.25; 14.46; -4.84; -3.48; 3.543307; 89.2; 77.0; 3.947; 2066; 
0.9126; 1.0215; 9.8067; 160.0; -16.87; 27.44; -39.94; 27.28; -6.1; 2.23; 3.543307; 89.2; 77.0; 3.947; 2571; 
0.2996; 0.4903; 10.0654; 160.0; -26.37; 15.88; -43.81; 52.45; 1.7; -8.79; 3.543307; 89.2; 77.0; 3.947; 3083; 
-0.0272; 1.5663; 7.355; 160.0; -23.0; 12.88; -51.87; 58.2; -1.17; 1.39; 3.543307; 89.2; 77.0; 3.947; 3583; 
0.4495; 1.3348; 8.7306; 160.0; -19.0; 0.44; -67.25; 73.74; -3.27; -2.18; 3.543307; 89.2; 77.0; 3.947; 4095; 

