ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);LIGHT ( lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION X (°);ORIENTATION Y (°);ORIENTATION Z (°);PROXIMITY ( in);Temperature ( °F);Level (%);Voltage (Volt);Time since start in ms ; 
0.681; 0.6402; 9.6023; 160.0; -5.81; 8.25; -48.37; 22.71; -4.41; -1.33; 3.543307; 89.2; 77.0; 3.947; 11; 
0.4495; 0.7219; 9.5751; 160.0; -5.81; 10.56; -47.62; 15.36; -4.61; -2.7; 3.543307; 89.2; 77.0; 3.947; 520; 
0.2588; 1.4846; 10.5694; 160.0; -6.75; 14.5; -50.87; 11.71; -4.42; -3.45; 3.543307; 89.2; 77.0; 3.947; 1043; 
1.1032; 1.185; 9.1529; 160.0; -12.5; 21.19; -53.81; 22.87; -6.54; -1.15; 3.543307; 89.2; 77.0; 3.947; 1563; 
0.9943; 0.8717; 8.7306; 160.0; -13.75; 27.69; -59.25; 10.25; -7.74; -7.21; 3.543307; 89.2; 77.0; 3.947; 2076; 
3.5958; 0.8308; 13.5114; 160.0; -16.31; 31.19; -50.12; 16.63; -6.6; -5.69; 3.543307; 89.2; 77.0; 3.947; 2599; 
3.2144; -0.1498; 6.0883; 160.0; -20.19; 31.13; -39.87; 16.7; -8.25; -13.11; 3.543307; 89.2; 77.0; 3.947; 3109; 
-0.109; 0.9943; 11.482; 160.0; -27.5; 17.19; -41.31; 56.15; 1.29; -2.17; 3.543307; 89.2; 77.0; 3.947; 3609; 
0.4903; 0.1907; 11.0325; 160.0; -27.37; 19.25; -43.0; 48.32; -5.27; -1.63; 3.543307; 89.2; 77.0; 3.947; 4113; 
0.6129; 0.4903; 8.4174; 160.0; -23.69; 8.44; -59.75; 61.91; 1.31; -10.86; 3.543307; 89.2; 77.0; 3.947; 4614; 

