ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);LIGHT ( lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION X (°);ORIENTATION Y (°);ORIENTATION Z (°);PROXIMITY ( in);Temperature ( °F);Level (%);Voltage (Volt);Time since start in ms ; 
-0.1907; 1.4846; 9.4934; 160.0; -6.25; 16.63; -50.06; 18.66; -1.82; 0.31; 3.543307; 89.2; 77.0; 3.947; 9; 
-0.4903; 0.9126; 9.7249; 160.0; -11.87; 22.38; -52.0; 23.27; -5.38; -0.53; 3.543307; 89.2; 77.0; 3.947; 509; 
2.5198; 4.0861; 14.8598; 160.0; -16.06; 20.56; -60.19; 30.65; -12.47; 4.13; 3.543307; 89.2; 77.0; 3.947; 1010; 
-2.6696; 2.7922; 6.851; 160.0; -56.0; -18.87; -25.87; 97.94; -6.48; -0.03; 3.543307; 89.2; 77.0; 3.947; 1510; 
-2.833; -7.7364; 0.0681; 160.0; -13.75; 45.88; 6.88; 10.65; -28.23; 39.51; 3.543307; 89.2; 77.0; 3.947; 2011; 
-0.5312; -8.0769; 12.5988; 160.0; 8.5; 43.13; -28.31; 143.49; 66.68; 12.91; 3.543307; 89.2; 77.0; 3.947; 2512; 
-3.2825; -1.1441; 9.9156; 160.0; 7.63; 30.5; -33.62; 326.29; 22.55; -4.4; 3.543307; 89.2; 77.0; 3.947; 3021; 
-1.4438; 1.1441; 8.2267; 160.0; -4.5; 25.56; -54.0; 46.78; 9.72; 18.14; 3.543307; 89.2; 77.0; 3.947; 3521; 
-1.1441; 2.1384; 11.0325; 160.0; -19.87; 4.13; -74.87; 87.6; 1.97; 17.59; 3.543307; 89.2; 77.0; 3.947; 4030; 

