ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);LIGHT ( lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION X (°);ORIENTATION Y (°);ORIENTATION Z (°);PROXIMITY ( in);Temperature ( °F);Level (%);Voltage (Volt);Time since start in ms ; 
0.109; 0.9126; 10.188; 160.0; -4.37; 8.0; -48.87; 10.47; -7.93; -1.5; 3.543307; 89.2; 77.0; 3.947; 5; 
0.109; 0.6129; 9.5342; 160.0; -6.19; 13.56; -49.69; 14.14; -8.96; -0.63; 3.543307; 89.2; 77.0; 3.947; 505; 
1.1441; 0.3405; 9.4117; 160.0; -8.62; 16.94; -52.5; 21.47; -0.01; -1.88; 3.543307; 89.2; 77.0; 3.947; 1005; 
0.7219; 1.9068; 10.188; 160.0; -10.81; 21.75; -55.5; 18.55; -6.51; -2.23; 3.543307; 89.2; 77.0; 3.947; 1505; 
0.3405; 1.8387; 9.9156; 160.0; -8.0; 28.56; -56.75; 7.26; -6.4; -3.52; 3.543307; 89.2; 77.0; 3.947; 2005; 
-1.6344; 0.7627; 7.1234; 160.0; -22.87; 33.56; -43.94; 21.0; -8.27; -9.39; 3.543307; 89.2; 77.0; 3.947; 2526; 
2.0294; -1.9068; 15.1594; 160.0; -18.25; 28.56; -42.0; 33.09; -2.74; 2.97; 3.543307; 89.2; 77.0; 3.947; 3033; 
1.5255; -0.0681; 8.3084; 160.0; -24.69; 21.38; -42.12; 45.41; 1.83; -6.81; 3.543307; 89.2; 77.0; 3.947; 3533; 
-0.5312; 0.1907; 11.8633; 160.0; -25.5; 13.56; -47.12; 58.49; 0.23; -2.31; 3.543307; 89.2; 77.0; 3.947; 4033; 
0.6129; 0.4903; 10.2561; 160.0; -23.62; 7.94; -61.81; 67.94; -1.69; 0.21; 3.543307; 89.2; 77.0; 3.947; 4581; 

