ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);LIGHT ( lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION X (°);ORIENTATION Y (°);ORIENTATION Z (°);PROXIMITY ( in);Temperature ( °F);Level (%);Voltage (Volt);Time since start in ms ; 
0.1907; 1.1441; 9.7249; 160.0; -27.06; 18.94; -37.06; 46.79; -7.08; -1.52; 3.543307; 90.3; 79.0; 4.115; 6; 
0.2996; 1.185; 9.6432; 160.0; -26.31; 19.44; -36.31; 47.24; -6.88; -1.36; 3.543307; 90.3; 79.0; 4.115; 508; 
0.2588; 1.2258; 9.6023; 160.0; -26.12; 19.13; -36.75; 47.07; -6.88; -1.36; 3.543307; 90.3; 79.0; 4.115; 1009; 
0.2996; 1.1441; 9.6023; 160.0; -26.81; 19.69; -35.87; 46.84; -7.09; -1.37; 3.543307; 90.3; 79.0; 4.115; 1509; 
0.2996; 1.2258; 9.6841; 160.0; -27.12; 19.81; -36.25; 46.86; -7.0; -1.63; 3.543307; 90.3; 79.0; 4.115; 2009; 
0.2996; 1.185; 9.5751; 160.0; -26.56; 19.94; -35.25; 46.95; -7.05; -1.46; 3.543307; 90.3; 79.0; 4.115; 2524; 
0.3405; 1.1441; 9.5751; 160.0; -27.31; 19.44; -37.25; 48.06; -6.84; -1.55; 3.543307; 90.3; 79.0; 4.115; 3043; 
0.2588; 1.2258; 9.6023; 160.0; -27.69; 19.38; -37.12; 48.62; -7.04; -2.01; 3.543307; 90.3; 79.0; 4.115; 3553; 
0.2179; 1.1441; 9.6432; 160.0; -26.44; 19.44; -36.0; 47.05; -6.98; -1.41; 3.543307; 90.3; 79.0; 4.115; 4061; 

