ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);LIGHT ( lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION X (°);ORIENTATION Y (°);ORIENTATION Z (°);PROXIMITY ( in);Temperature ( °F);Level (%);Voltage (Volt);Time since start in ms ; 
0.4086; 0.9126; 9.6023; 160.0; -28.62; 19.69; -35.31; 50.02; -5.21; -1.96; 3.543307; 90.3; 79.0; 4.115; 4; 
0.3814; 0.8308; 9.6432; 160.0; -27.75; 21.25; -35.25; 47.63; -5.05; -2.53; 3.543307; 90.3; 79.0; 4.115; 533; 
0.3814; 0.8036; 9.6841; 160.0; -28.56; 20.0; -35.19; 49.11; -5.03; -2.17; 3.543307; 90.3; 79.0; 4.115; 1044; 
0.2588; 0.9534; 9.6841; 160.0; -28.25; 20.94; -35.44; 49.11; -5.16; -2.03; 3.543307; 90.3; 79.0; 4.115; 1544; 
0.1907; 0.8308; 9.7249; 160.0; -27.94; 20.38; -35.31; 49.49; -4.97; -1.69; 3.543307; 90.3; 79.0; 4.115; 2096; 
0.3405; 0.7627; 9.6023; 160.0; -27.75; 20.19; -35.37; 49.24; -4.98; -1.83; 3.543307; 90.3; 79.0; 4.115; 2597; 
0.4086; 0.8717; 9.5751; 160.0; -28.44; 19.63; -36.62; 49.29; -4.93; -1.82; 3.543307; 90.3; 79.0; 4.115; 3102; 
0.4495; 0.8308; 9.5342; 160.0; -28.31; 19.63; -35.06; 49.62; -4.97; -1.52; 3.543307; 90.3; 79.0; 4.115; 3602; 
0.3405; 1.0215; 9.6023; 160.0; -27.37; 20.38; -35.12; 48.37; -5.17; -1.76; 3.543307; 90.3; 79.0; 4.115; 4104; 
0.3814; 0.8308; 9.6023; 160.0; -27.81; 20.38; -35.12; 48.57; -5.65; -2.3; 3.543307; 90.3; 79.0; 4.115; 4622; 

