ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);LIGHT ( lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION X (°);ORIENTATION Y (°);ORIENTATION Z (°);PROXIMITY ( in);Temperature ( °F);Level (%);Voltage (Volt);Time since start in ms ; 
0.1498; 1.2258; 9.7249; 160.0; -26.31; 19.69; -36.75; 45.43; -7.43; -1.43; 3.543307; 90.3; 79.0; 4.115; 25; 
0.3405; 1.1441; 9.5342; 160.0; -26.31; 19.44; -35.75; 47.2; -7.29; -1.04; 3.543307; 90.3; 79.0; 4.115; 544; 
0.3405; 1.1032; 9.6023; 160.0; -26.56; 19.69; -36.0; 46.89; -7.19; -1.42; 3.543307; 90.3; 79.0; 4.115; 1111; 
0.2996; 1.185; 9.6023; 160.0; -27.19; 19.75; -34.94; 46.8; -7.04; -1.91; 3.543307; 90.3; 79.0; 4.115; 1612; 
0.2179; 1.185; 9.5751; 160.0; -26.69; 19.13; -35.69; 47.93; -7.02; -1.77; 3.543307; 90.3; 79.0; 4.115; 2123; 
0.2588; 1.2258; 9.6432; 160.0; -26.12; 18.31; -35.75; 47.09; -7.17; -1.28; 3.543307; 90.3; 79.0; 4.115; 2631; 
0.2179; 1.2258; 9.6432; 160.0; -26.06; 19.06; -36.37; 47.02; -7.13; -1.4; 3.543307; 90.3; 79.0; 4.115; 3132; 
0.1907; 1.1441; 9.6432; 160.0; -26.94; 19.5; -35.81; 49.25; -7.14; -1.31; 3.543307; 90.3; 79.0; 4.115; 3645; 

