ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);LIGHT ( lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION X (°);ORIENTATION Y (°);ORIENTATION Z (°);PROXIMITY ( in);Temperature ( °F);Level (%);Voltage (Volt);Time since start in ms ; 
0.2996; 0.9126; 9.6023; 160.0; -28.87; 20.06; -36.5; 50.37; -5.23; -1.43; 3.543307; 90.3; 79.0; 4.115; 16; 
0.2588; 0.8036; 9.7249; 160.0; -28.0; 19.63; -36.06; 49.15; -5.53; -1.6; 3.543307; 90.3; 79.0; 4.115; 517; 
0.2996; 0.8036; 9.6432; 160.0; -28.81; 20.63; -35.56; 48.97; -5.38; -1.59; 3.543307; 90.3; 79.0; 4.115; 1026; 
0.3405; 0.8717; 9.6023; 160.0; -28.19; 20.06; -35.12; 49.3; -5.02; -1.91; 3.543307; 90.3; 79.0; 4.115; 1526; 
0.4086; 0.9126; 9.5751; 160.0; -28.0; 20.69; -35.62; 49.33; -5.15; -1.74; 3.543307; 90.3; 79.0; 4.115; 2035; 
0.2588; 0.8308; 9.7249; 160.0; -27.69; 20.25; -35.87; 49.25; -5.01; -1.8; 3.543307; 90.3; 79.0; 4.115; 2554; 
0.3814; 0.8036; 9.6841; 160.0; -27.44; 20.19; -34.94; 48.06; -5.04; -2.11; 3.543307; 90.3; 79.0; 4.115; 3057; 
0.4495; 0.8308; 9.5751; 160.0; -28.69; 20.19; -35.19; 50.68; -4.91; -1.52; 3.543307; 90.3; 79.0; 4.115; 3557; 
0.4086; 0.7627; 9.6432; 160.0; -28.87; 20.88; -35.5; 48.96; -4.73; -2.46; 3.543307; 90.3; 79.0; 4.115; 4078; 
0.4903; 0.8717; 9.4525; 160.0; -28.56; 20.31; -36.19; 50.11; -4.72; -2.34; 3.543307; 90.3; 79.0; 4.115; 4583; 
0.2996; 0.8308; 9.6841; 160.0; -29.06; 20.5; -36.0; 50.17; -4.61; -2.18; 3.543307; 90.3; 79.0; 4.115; 5083; 

