ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);LIGHT ( lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION X (°);ORIENTATION Y (°);ORIENTATION Z (°);PROXIMITY ( in);Temperature ( °F);Level (%);Voltage (Volt);Time since start in ms ; 
0.3405; 1.2258; 9.5342; 160.0; -27.12; 19.44; -36.44; 48.01; -7.2; -1.49; 3.543307; 90.3; 79.0; 4.115; 6; 
0.2996; 1.1441; 9.6023; 160.0; -26.81; 19.94; -37.19; 45.13; -7.16; -2.01; 3.543307; 90.3; 79.0; 4.115; 508; 
0.2588; 1.2258; 9.6432; 160.0; -26.87; 19.81; -36.12; 45.61; -7.13; -1.68; 3.543307; 90.3; 79.0; 4.115; 1009; 
0.2588; 1.185; 9.6023; 160.0; -26.94; 19.19; -35.81; 48.09; -7.19; -1.4; 3.543307; 90.3; 79.0; 4.115; 1509; 
0.1907; 1.185; 9.6432; 160.0; -26.75; 19.44; -36.37; 48.13; -7.21; -1.33; 3.543307; 90.3; 79.0; 4.115; 2041; 
0.2996; 1.185; 9.6023; 160.0; -26.62; 19.06; -36.5; 47.92; -7.38; -1.44; 3.543307; 90.3; 79.0; 4.115; 2554; 
0.2179; 1.2939; 9.6023; 160.0; -26.56; 19.13; -36.31; 47.81; -7.42; -1.54; 3.543307; 90.3; 79.0; 4.115; 3055; 
0.2588; 1.2258; 9.6023; 160.0; -26.5; 19.75; -35.75; 46.9; -7.29; -1.32; 3.543307; 90.3; 79.0; 4.115; 3556; 
0.3405; 1.185; 9.6023; 160.0; -27.06; 19.75; -35.75; 46.85; -7.15; -1.51; 3.543307; 90.3; 79.0; 4.115; 4084; 
0.2996; 1.185; 9.5342; 160.0; -27.44; 19.88; -37.62; 46.16; -7.24; -1.85; 3.543307; 90.3; 79.0; 4.115; 4594; 

