ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);LIGHT ( lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION X (°);ORIENTATION Y (°);ORIENTATION Z (°);PROXIMITY ( in);Temperature ( °F);Level (%);Voltage (Volt);Time since start in ms ; 
0.0681; 1.4438; 10.1472; 160.0; -25.25; 22.94; -34.94; 44.66; -4.79; 0.83; 3.543307; 90.3; 79.0; 4.115; 16; 
0.1907; 0.4903; 9.4525; 160.0; -23.75; 22.44; -34.44; 41.86; -7.45; -0.23; 3.543307; 90.3; 79.0; 4.115; 524; 
0.3814; 1.0624; 9.3027; 160.0; -25.5; 23.19; -31.5; 42.76; -5.08; -1.09; 3.543307; 90.3; 79.0; 4.115; 1049; 
0.1907; 1.0215; 9.6841; 160.0; -23.12; 20.19; -35.5; 45.89; -2.22; -1.56; 3.543307; 90.3; 79.0; 4.115; 1558; 
0.0681; 0.109; 11.2504; 160.0; -25.12; 24.13; -29.94; 40.06; -8.16; -2.47; 3.543307; 90.3; 79.0; 4.115; 2061; 
0.681; 0.0681; 12.4762; 160.0; -24.37; 22.5; -29.31; 43.32; -2.41; -2.23; 3.543307; 90.3; 79.0; 4.115; 2571; 
0.2588; -0.8308; 13.4841; 160.0; -23.69; 26.06; -29.06; 39.91; -2.86; -2.01; 3.543307; 90.3; 79.0; 4.115; 3100; 
0.4086; 1.757; 9.0712; 160.0; -23.5; 18.88; -37.0; 52.22; 1.71; 0.12; 3.543307; 90.3; 79.0; 4.115; 3601; 
0.7627; 3.4459; 8.2267; 160.0; -27.0; 10.56; -34.0; 53.04; -11.39; -2.93; 3.543307; 90.3; 79.0; 4.115; 4151; 
1.866; 3.0918; 8.8805; 160.0; -30.06; 10.88; -31.87; 49.17; -22.16; -5.45; 3.543307; 90.3; 79.0; 4.115; 4652; 
1.8387; 1.4846; 9.8339; 160.0; -30.06; 16.5; -32.0; 39.39; -21.01; -10.19; 3.543307; 90.3; 79.0; 4.115; 5168; 
1.0215; 0.4086; 9.6841; 160.0; -27.5; 21.19; -32.69; 36.5; -13.41; -11.96; 3.543307; 90.3; 79.0; 4.115; 5686; 
1.2939; -0.8308; 11.7135; 160.0; -29.87; 33.06; -32.44; 33.43; -4.7; -9.62; 3.543307; 90.3; 79.0; 4.115; 6186; 
1.0215; 0.5312; 8.1586; 160.0; -26.56; 22.44; -35.31; 48.35; 2.34; -6.32; 3.543307; 90.3; 79.0; 4.115; 6697; 
1.2531; 0.0681; 10.5694; 160.0; -27.94; 28.81; -34.44; 36.04; -4.18; -7.29; 3.543307; 90.3; 79.0; 4.115; 7221; 
0.9943; 0.2588; 10.1063; 160.0; -30.87; 25.75; -36.31; 46.41; 0.13; -5.78; 3.543307; 90.3; 79.0; 4.115; 7739; 

