ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);LIGHT ( lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION X (°);ORIENTATION Y (°);ORIENTATION Z (°);PROXIMITY ( in);Temperature ( °F);Level (%);Voltage (Volt);Time since start in ms ; 
0.3405; 0.9943; 9.5751; 160.0; -27.19; 20.19; -35.37; 47.88; -5.79; -1.63; 3.543307; 90.3; 79.0; 4.115; 17; 
0.2179; 1.0215; 9.7658; 160.0; -27.62; 19.5; -35.62; 47.38; -5.85; -2.03; 3.543307; 90.3; 79.0; 4.115; 518; 
0.3405; 1.0624; 9.6023; 160.0; -27.5; 19.69; -35.0; 47.58; -5.95; -1.87; 3.543307; 90.3; 79.0; 4.115; 1018; 
0.2996; 0.9943; 9.6023; 160.0; -27.06; 19.19; -36.06; 48.28; -6.36; -1.94; 3.543307; 90.3; 79.0; 4.115; 1519; 
0.2588; 1.1032; 9.6432; 160.0; -27.06; 19.75; -35.62; 47.03; -6.35; -2.0; 3.543307; 90.3; 79.0; 4.115; 2019; 
0.2996; 1.0215; 9.6841; 160.0; -27.19; 19.75; -35.62; 47.19; -6.31; -1.84; 3.543307; 90.3; 79.0; 4.115; 2519; 
0.3405; 1.0215; 9.6432; 160.0; -27.94; 20.38; -35.31; 48.49; -6.22; -1.84; 3.543307; 90.3; 79.0; 4.115; 3035; 
0.3814; 1.0624; 9.6023; 160.0; -27.94; 20.94; -34.31; 47.51; -6.09; -1.93; 3.543307; 90.3; 79.0; 4.115; 3554; 
0.2179; 1.185; 9.6432; 160.0; -28.44; 19.75; -37.37; 47.94; -6.26; -2.1; 3.543307; 90.3; 79.0; 4.115; 4057; 

