ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);LIGHT ( lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION X (°);ORIENTATION Y (°);ORIENTATION Z (°);PROXIMITY ( in);Temperature ( °F);Level (%);Voltage (Volt);Time since start in ms ; 
0.2588; 1.185; 9.6432; 160.0; -27.62; 19.63; -36.06; 48.18; -6.64; -1.63; 3.543307; 90.3; 79.0; 4.115; 21; 
0.2179; 1.2258; 9.6432; 160.0; -27.44; 19.19; -36.06; 46.95; -6.97; -1.54; 3.543307; 90.3; 79.0; 4.115; 543; 
0.1907; 1.1441; 9.7249; 160.0; -26.44; 19.56; -35.12; 46.08; -6.94; -1.47; 3.543307; 90.3; 79.0; 4.115; 1043; 
0.2179; 1.2258; 9.6023; 160.0; -26.81; 19.31; -35.37; 48.49; -6.96; -1.33; 3.543307; 90.3; 79.0; 4.115; 1543; 
0.2588; 1.2258; 9.6841; 160.0; -27.12; 18.88; -36.31; 49.72; -6.89; -1.17; 3.543307; 90.3; 79.0; 4.115; 2046; 
0.2179; 1.1032; 9.7249; 160.0; -27.25; 19.38; -36.44; 46.9; -6.84; -1.73; 3.543307; 90.3; 79.0; 4.115; 2582; 
0.2996; 1.185; 9.6432; 160.0; -27.0; 19.13; -37.31; 47.98; -6.82; -1.65; 3.543307; 90.3; 79.0; 4.115; 3085; 
0.2588; 1.1441; 9.6841; 160.0; -26.5; 20.0; -36.62; 46.95; -6.86; -1.65; 3.543307; 90.3; 79.0; 4.115; 3595; 
0.3814; 1.2531; 9.4525; 160.0; -26.75; 19.06; -36.5; 48.17; -6.91; -1.57; 3.543307; 90.3; 79.0; 4.115; 4109; 

